log
2022-06-01 21:12:11.742804 -> 開始進行資料讀取與處理程序...
"2022-06-01 21:12:11.911399 [success] -> 獲取資料夾 : ['MES_FTP/AutoScheduling/2022/0601/Simu', 'MES_FTP/AutoScheduling/2022/0601/20220601190000', 'MES_FTP/AutoScheduling/2022/0601/20220601080000']"
2022-06-01 21:12:11.911399 [success] -> 篩選資料區間 : 2022060119 <-> 2022060121
2022-06-01 21:12:11.911399 [success] -> 處理資料夾內容 : MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/
2022-06-01 21:12:12.028481 [success] -> MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/eim.csv : 開始進行讀檔
2022-06-01 21:12:12.466553 [success] -> MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/eim.csv : 讀檔成功
2022-06-01 21:12:12.466553 [success] -> MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/gtsdat_STACKDIEOPER.csv : 開始進行讀檔
2022-06-01 21:12:12.568341 [success] -> MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/gtsdat_STACKDIEOPER.csv : 讀檔成功
2022-06-01 21:12:12.568341 [success] -> MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/ntcent.csv : 開始進行讀檔
2022-06-01 21:12:14.045327 [success] -> MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/ntcent.csv : 讀檔成功
2022-06-01 21:12:14.045327 [success] -> MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/ntclot.csv : 開始進行讀檔
2022-06-01 21:12:14.316395 [success] -> MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/ntclot.csv : 讀檔成功
2022-06-01 21:12:14.316395 [success] -> MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/uph.csv : 開始進行讀檔
2022-06-01 21:12:14.692888 [success] -> MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/uph.csv : 讀檔成功
2022-06-01 21:12:14.692888 [success] -> MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/WipOutPlanTime_20220601190533.csv : 開始進行讀檔
2022-06-01 21:12:20.959383 [success] -> MES_FTP/AutoScheduling/2022/0601/20220601190000/MD/WipOutPlanTime_20220601190533.csv : 讀檔成功
2022-06-01 21:12:20.959383 -> 完成資料讀取與處理程序。
2022-06-01 21:12:20.973345 -> 開始進行DB execute...
2022-06-01 21:12:20.973345 [success] -> mes_eim : 處理中...  
2022-06-01 21:12:21.028355 [success] -> mes_eim : 完成delete timestamp重複者
2022-06-01 21:12:21.095727 [success] -> mes_eim : 完成將原始資料回壓active='N'
2022-06-01 21:12:21.511581 [success] -> mes_eim : 完成新資料insert(20220601190000) 
2022-06-01 21:12:21.511581 [success] -> mes_gtsdat_stackdieoper : 處理中...  
2022-06-01 21:12:21.562201 [success] -> mes_gtsdat_stackdieoper : 完成delete timestamp重複者
2022-06-01 21:12:21.618071 [success] -> mes_gtsdat_stackdieoper : 完成將原始資料回壓active='N'
2022-06-01 21:12:21.680558 [success] -> mes_gtsdat_stackdieoper : 完成新資料insert(20220601190000) 
2022-06-01 21:12:21.680558 [success] -> mes_ntcent : 處理中...  
2022-06-01 21:12:21.719139 [success] -> mes_ntcent : 完成delete timestamp重複者
2022-06-01 21:12:21.802514 [success] -> mes_ntcent : 完成將原始資料回壓active='N'
2022-06-01 21:12:24.790905 [success] -> mes_ntcent : 完成新資料insert(20220601190000) 
2022-06-01 21:12:24.790905 [success] -> mes_ntclot : 處理中...  
2022-06-01 21:12:24.832099 [success] -> mes_ntclot : 完成delete timestamp重複者
2022-06-01 21:12:24.901806 [success] -> mes_ntclot : 完成將原始資料回壓active='N'
2022-06-01 21:12:25.281304 [success] -> mes_ntclot : 完成新資料insert(20220601190000) 
2022-06-01 21:12:25.281304 [success] -> mes_uph : 處理中...  
2022-06-01 21:12:25.316728 [success] -> mes_uph : 完成delete timestamp重複者
2022-06-01 21:12:25.347970 [success] -> mes_uph : 完成將原始資料回壓active='N'
2022-06-01 21:12:25.572080 [success] -> mes_uph : 完成新資料insert(20220601190000) 
2022-06-01 21:12:25.572080 [success] -> mes_wipoutplantime : 處理中...  
2022-06-01 21:12:25.629611 [success] -> mes_wipoutplantime : 完成delete timestamp重複者
2022-06-01 21:12:25.996615 [success] -> mes_wipoutplantime : 完成將原始資料回壓active='N'
2022-06-01 21:12:43.885549 [success] -> mes_wipoutplantime : 完成新資料insert(20220601190000) 
2022-06-01 21:12:43.885549 -> 完成進行DB execute。
