log
2022-06-02 12:46:52.371437 -> 開始進行資料讀取與處理程序...
"2022-06-02 12:46:52.502144 [success] -> 獲取資料夾 : ['MES_FTP/AutoScheduling/2022/0602/Simu', 'MES_FTP/AutoScheduling/2022/0602/20220602080000']"
2022-06-02 12:46:52.502144 [success] -> 篩選資料區間 : 0601 <-> 0602
2022-06-02 12:46:52.502144 [success] -> 處理資料夾內容 : MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/
2022-06-02 12:46:52.564072 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/eim.csv : 開始進行讀檔
2022-06-02 12:46:52.902647 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/eim.csv : 讀檔成功
2022-06-02 12:46:52.902647 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/gtsdat_STACKDIEOPER.csv : 開始進行讀檔
2022-06-02 12:46:52.978494 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/gtsdat_STACKDIEOPER.csv : 讀檔成功
2022-06-02 12:46:52.978494 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntcent.csv : 開始進行讀檔
2022-06-02 12:46:54.420734 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntcent.csv : 讀檔成功
2022-06-02 12:46:54.420734 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntclot.csv : 開始進行讀檔
2022-06-02 12:46:54.639794 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntclot.csv : 讀檔成功
2022-06-02 12:46:54.639794 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/uph.csv : 開始進行讀檔
2022-06-02 12:46:54.983299 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/uph.csv : 讀檔成功
2022-06-02 12:46:54.983299 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/WipOutPlanTime_20220602080636.csv : 開始進行讀檔
2022-06-02 12:47:00.557075 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/WipOutPlanTime_20220602080636.csv : 讀檔成功
2022-06-02 12:47:00.557075 -> 完成資料讀取與處理程序。
2022-06-02 12:47:00.575358 -> 開始進行DB execute...
2022-06-02 12:47:00.575358 [success] -> mes_eim : 處理中...  
2022-06-02 12:47:00.618429 [success] -> mes_eim : 完成delete timestamp重複者
2022-06-02 12:47:00.664486 [success] -> mes_eim : 完成將原始資料回壓active='N'
2022-06-02 12:47:01.027177 [success] -> mes_eim : 完成新資料insert(20220602080000) 
2022-06-02 12:47:01.027177 [success] -> mes_gtsdat_stackdieoper : 處理中...  
2022-06-02 12:47:01.074276 [success] -> mes_gtsdat_stackdieoper : 完成delete timestamp重複者
2022-06-02 12:47:01.107188 [success] -> mes_gtsdat_stackdieoper : 完成將原始資料回壓active='N'
2022-06-02 12:47:01.149207 [success] -> mes_gtsdat_stackdieoper : 完成新資料insert(20220602080000) 
2022-06-02 12:47:01.149207 [success] -> mes_ntcent : 處理中...  
2022-06-02 12:47:01.199081 [success] -> mes_ntcent : 完成delete timestamp重複者
2022-06-02 12:47:01.287028 [success] -> mes_ntcent : 完成將原始資料回壓active='N'
2022-06-02 12:47:04.251890 [success] -> mes_ntcent : 完成新資料insert(20220602080000) 
2022-06-02 12:47:04.251890 [success] -> mes_ntclot : 處理中...  
2022-06-02 12:47:04.286554 [success] -> mes_ntclot : 完成delete timestamp重複者
2022-06-02 12:47:04.322462 [success] -> mes_ntclot : 完成將原始資料回壓active='N'
2022-06-02 12:47:04.768720 [success] -> mes_ntclot : 完成新資料insert(20220602080000) 
2022-06-02 12:47:04.768720 [success] -> mes_uph : 處理中...  
2022-06-02 12:47:04.807317 [success] -> mes_uph : 完成delete timestamp重複者
2022-06-02 12:47:04.842228 [success] -> mes_uph : 完成將原始資料回壓active='N'
2022-06-02 12:47:05.035170 [success] -> mes_uph : 完成新資料insert(20220602080000) 
2022-06-02 12:47:05.035170 [success] -> mes_wipoutplantime : 處理中...  
2022-06-02 12:47:05.181965 [success] -> mes_wipoutplantime : 完成delete timestamp重複者
2022-06-02 12:47:05.800386 [success] -> mes_wipoutplantime : 完成將原始資料回壓active='N'
2022-06-02 12:47:24.040228 [success] -> mes_wipoutplantime : 完成新資料insert(20220602080000) 
2022-06-02 12:47:24.040228 -> 完成進行DB execute。
"2022-06-02 12:47:24.073136 [err] -> INSERT INTO public.data_crawler_run_list(update_time,scope,result,timestamp) VALUES(2022-06-02 12:46:52.371437,'mes',eim:[O];gtsdat_STACKDIEOPER:[O];ntcent:[O];ntclot:[O];uph:[O];WipOutPlanTime:[O],20220602080000) : executeSQL失敗"
